week_end,pruid,prename,prfname,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,proptotal_atleast1dose,proptotal_1dose,proptotal_2doses
2020-12-19,1,Canada,Canada,8734,8734,0,0.05083105,0.05083105,0
2020-12-19,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,972,972,0,0.186170162,0.186170162,0
2020-12-19,12,Nova Scotia,Nouvelle-Écosse,1092,1092,0,0.111502413,0.111502413,0
2020-12-19,24,Quebec,Québec,4728,4728,0,0.055139785,0.055139785,0
2020-12-19,46,Manitoba,Manitoba,894,894,0,0.064817225,0.064817225,0
2020-12-19,47,Saskatchewan,Saskatchewan,1048,1048,0,0.088912946,0.088912946,0
2020-12-19,48,Alberta,Alberta,2669,2669,0,0.060358997,0.060358997,0
2020-12-19,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0
2020-12-19,60,Yukon,Yukon,0,0,0,0,0,0
2020-12-19,62,Nunavut,Nunavut,0,0,0,0,0,0
2020-12-26,1,Canada,Canada,33734,33734,0,0.186133902,0.186133902,0
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,1152,1152,0,0.721691464,0.721691464,0
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,2218,2218,0,0.226476514,0.226476514,0
2020-12-26,13,New Brunswick,Nouveau-Brunswick,2606,2606,0,0.333471533,0.333471533,0
2020-12-26,24,Quebec,Québec,17221,17221,0,0.200838036,0.200838036,0
2020-12-26,46,Manitoba,Manitoba,2177,2177,0,0.157837918,0.157837918,0
2020-12-26,47,Saskatchewan,Saskatchewan,1783,1783,0,0.151270785,0.151270785,0
2020-12-26,48,Alberta,Alberta,4792,4792,0,0.108370294,0.108370294,0
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,0,0,0,0,0,0
2020-12-26,60,Yukon,Yukon,0,0,0,0,0,0
2020-12-26,62,Nunavut,Nunavut,0,0,0,0,0,0
2021-01-02,1,Canada,Canada,77521,77521,0,0.333119564,0.333119564,0
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1785,1785,0,0.341886563,0.341886563,0
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,1674,1674,0,1.048707909,1.048707909,0
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,2720,2720,0,0.277734949,0.277734949,0
2021-01-02,13,New Brunswick,Nouveau-Brunswick,2886,2886,0,0.369301169,0.369301169,0
2021-01-02,24,Quebec,Québec,28312,28312,0,0.330185615,0.330185615,0
2021-01-02,46,Manitoba,Manitoba,3432,3432,0,0.248828541,0.248828541,0
2021-01-02,47,Saskatchewan,Saskatchewan,3545,3545,0,0.300759917,0.300759917,0
2021-01-02,48,Alberta,Alberta,13383,13383,0,0.302654349,0.302654349,0
2021-01-02,59,British Columbia,Colombie-Britannique,19654,19654,0,0.381800691,0.381800691,0
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,130,130,0,0.287858993,0.287858993,0
2021-01-02,60,Yukon,Yukon,0,0,0,0,0,0
2021-01-02,62,Nunavut,Nunavut,0,0,0,0,0,0
2021-01-09,1,Canada,Canada,211528,207036,4492,0.556575912,0.544756489,0.011819423
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2847,1994,853,0.545294702,0.381916978,0.163378
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,2490,2489,1,1.55990603,1.559279561,0.000626
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,2755,1679,1076,0.281308744,0.171440066,0.109869
2021-01-09,13,New Brunswick,Nouveau-Brunswick,6241,na,na,0.798616976,na,na
2021-01-09,24,Quebec,Québec,83300,83300,0,0.971477174,0.971477174,0
2021-01-09,46,Manitoba,Manitoba,9574,9574,0,0.694138826,0.694138826,0
2021-01-09,47,Saskatchewan,Saskatchewan,5528,4569,959,0.468998822,0.387636689,0.081362
2021-01-09,48,Alberta,Alberta,44298,43574,724,1.001792,0.985418858,0.016373141
2021-01-09,59,British Columbia,Colombie-Britannique,54354,54354,0,1.055886576,1.055886576,0
2021-01-09,61,Northwest Territories,Territoires du Nord-Ouest,512,512,0,1.133721574,1.133721574,0
2021-01-09,60,Yukon,Yukon,495,495,0,1.177114049,1.177114049,0
